,head,head_replaced,head_translated
107,PersonX gives PersonX's money,someone gives his money,有人给他钱
108,PersonX also said,someone also said,有人还说
109,PersonX finds peace,someone finds peace,有人找到了安宁
110,PersonX hits the high notes,someone hits the high notes,有人唱高音
111,PersonX prays every ___,someone prays every something,有人在祈祷
112,PersonX helps much,someone helps much,有人帮了大忙
113,PersonX tells people,someone tells people,有人告诉人们
114,PersonX crowds in on ___,someone crowds in on something,有人挤在某物上
115,PersonX asks PersonY was going,someone asks someone else was going,有人问别人要去
116,PersonX goes to the mattresses,someone goes to the mattresses,有人去床垫那里
117,PersonX leaves alone,someone leaves alone,有人独自离开
118,PersonX puts ___ right,someone puts something right,有人纠正了一些事情
119,PersonX is moving to a new apartment,someone is moving to a new apartment,有人要搬到新公寓
120,PersonX needs a ride,someone needs a ride,有人需要搭车
121,PersonX carries PersonY into effect,someone carries someone else into effect,有人把别人带进监狱
122,PersonX feels responsible,someone feels responsible,有人觉得有责任
123,PersonX realizes that PersonY was lost,someone realizes that someone else was lost,有人意识到有人迷路了
124,PersonX transforms ___ into outputs,someone transforms something into outputs,有人将某物转化为输出
125,PersonX eats ___ with PersonX's family,someone eats something with his family,有人和家人一起吃东西
126,PersonX is at PersonY's grandma 's house,someone is at someone else's grandma 's house,有人在别人奶奶家
127,PersonX provides gifts for people,someone provides gifts for people,有人给人们送礼物
128,PersonX meets PersonX's standards,someone meets his standards,有人符合他的标准
129,PersonX meets the ___ to face,someone meets something to face,有人遇到了要面对的事
130,PersonX asks PersonY's roommate,someone asks someone else's roommate,有人问别人的室友
131,PersonX feels so bad,someone feels so bad,有人感觉如此糟糕
132,PersonX grabs by the lapels,someone grabs by the lapels,有人抓住翻领
133,PersonX engulfs in flames,someone engulfs in flames,有人被火焰吞没
134,PersonX hides PersonY's ___ under a bushel,someone hides someone else's something under a bushel,有人把别人的东西藏在斗底下
135,PersonX occupies the ___ for years,someone occupies something for years,有人占用了一些东西很多年
136,PersonX has a terrible time,someone has a terrible time,有人的日子不好过
137,PersonX sees ___ in the corner,someone sees something in the corner,有人看到角落里有东西
138,PersonX sees what was happening,someone sees what was happening,有人看到发生了什么
139,PersonX carries that ___ into effect,someone carries that something into effect,有人把那个东西
140,PersonX drives around PersonY's neighborhood,someone drives around someone else's neighborhood,有人开车在别人家附近转悠
141,PersonX puts it in a tank,someone puts it in a tank,有人把它放进坦克里
142,PersonX wants to go back,someone wants to go back,有人想回去
143,PersonX has a good job,someone has a good job,有人有好工作
144,PersonX needs to talk to PersonY,someone needs to talk to someone else,有人需要和其他人谈谈
145,PersonX abandons ___ altogether,someone abandons something altogether,某人完全放弃某物
146,PersonX launches another ___,someone launches another something,有人发射了另一个东西
147,PersonX loses PersonX's ability,someone loses his ability,有人失去了他的能力
148,PersonX gives PersonY aid,someone gives someone else aid,有人帮助别人
149,PersonX puts air,someone puts air,有人把空气
150,PersonX cheats on PersonY,someone cheats on someone else,有人欺骗别人
151,PersonX drops the phone,someone drops the phone,有人掉了电话
152,PersonX makes ___ everyday,someone makes something everyday,有人每天都做东西
153,PersonX gets ___ in the mail,someone gets something in the mail,有人收到邮件
154,PersonX avoids ___ much,someone avoids something much,有人总是回避一些事情
155,PersonX is still angry,someone is still angry,有人还在生气
156,PersonX does PersonX's chores,someone does his chores,有人帮他做家务
157,PersonX paints my nails,someone paints my nails,有人给我涂指甲油
158,PersonX gets it done,someone gets it done,有人能搞定
159,PersonX tells PersonY wife,someone tells someone else wife,有人告诉别人的妻子
160,PersonX calls PersonY 's mom,someone calls someone else 's mom,有人打电话给别人的妈妈
161,PersonX understands the ___ better,someone understands something better,有人能更好地理解
162,PersonX keeps PersonX's commandments,someone keeps his commandments,有人遵守他的戒律
163,PersonX draws forth a ___,someone draws forth something,有人抽出了什么东西
164,PersonX rides PersonY's bicycle,someone rides someone else's bicycle,有人骑别人的自行车
165,PersonX needs to go home,someone needs to go home,得有人回家
166,PersonX coordinates PersonX's efforts,someone coordinates his efforts,有人协调他的努力
167,PersonX sets PersonY to work,someone sets someone else to work,有人安排别人工作
168,PersonX shakes PersonY's head slightly,someone shakes someone else's head slightly,有人轻轻摇了摇别人的头
169,PersonX falls open,someone falls open,有人摔开了
170,PersonX pops PersonX's cork,someone pops his cork,有人打开了他的软木塞
171,PersonX finds ___ anywhere,someone finds something anywhere,有人在任何地方发现了什么
172,PersonX has a mountain to climb,someone has a mountain to climb,有人要爬一座山
173,PersonX seeks PersonX's fortune,someone seeks his fortune,有人在寻觅他的财富
174,PersonX receives ___ from others,someone receives something from others,某人从别人那里得到一些东西
175,PersonX runs PersonY over,someone runs someone else over,有人把别人撞倒了
176,PersonX eventually got married,someone eventually got married,有人最终结婚了
177,PersonX imputes PersonX's ___ unto PersonY,someone imputes his something unto someone else,有人把他的东西归罪于别人
178,PersonX meets in person,someone meets in person,某人见面
179,PersonX builds a house together,someone builds a house together,有人一起盖房子
180,PersonX looks PersonY straight in the eye,someone looks someone else straight in the eye,有人直视着别人的眼睛
181,PersonX proves PersonX's case,someone proves his case,有人证明了他的案子
182,PersonX takes ___ to the animal shelter,someone takes something to the animal shelter,有人把东西带到动物收容所
183,PersonX becomes happy,someone becomes happy,有人变得快乐
184,PersonX writes a letter to PersonY,someone writes a letter to someone else,有人给别人写信
185,PersonX cuts the cake,someone cuts the cake,有人切蛋糕
186,PersonX dismisses PersonY,someone dismisses someone else,有人解雇别人
187,PersonX gets my license,someone gets my license,有人拿到了我的执照
188,PersonX follows PersonY's course,someone follows someone else's course,有人走别人的路
189,PersonX goes back to the house,someone goes back to the house,有人回到屋里
190,PersonX adds water,someone adds water,有人加水
191,PersonX raises ___ for purposes,someone raises something for purposes,某人为达到目的而提出某物
192,PersonX explains what happened,someone explains what happened,有人解释发生了什么
193,PersonX gives PersonY reason,someone gives someone else reason,有人给了别人理由
194,PersonX asks PersonY's forgiveness,someone asks someone else's forgiveness,有人请求别人的原谅
195,PersonX fills PersonX's cart,someone fills his cart,有人把车装满了
196,PersonX sees ___ ahead,someone sees something ahead,有人看到了前方的一些东西
197,PersonX needs something,someone needs something,有人需要什么
198,PersonX accepts every ___,someone accepts every something,有人接受一切
199,PersonX hears thunder,someone hears thunder,有人听到雷声
200,PersonX rides back home,someone rides back home,有人骑马回家
201,PersonX buys shoes early,someone buys shoes early,有人提前买鞋
202,PersonX presents it to PersonY,someone presents it to someone else,有人把它送给别人
203,PersonX forgives men PersonY's ___,someone forgives men someone else's something,有人原谅了别人
204,PersonX loves going to the zoo,someone loves going to the zoo,有人喜欢去动物园
205,PersonX is covered in mud,someone is covered in mud,有人浑身是泥
206,PersonX holds up PersonY's hands,someone holds up someone else's hands,有人举起别人的手
207,PersonX sells PersonY's ___ at the price,someone sells someone else's something at the price,有人卖别人的东西
208,PersonX goes trick or treating,someone goes trick or treating,有人不给糖就捣蛋
209,PersonX gives ___ to a baby girl,someone gives something to a baby girl,有人给了一个女婴一些东西
210,PersonX allays PersonY's fears,someone allays someone else's fears,有人消除了别人的恐惧
211,PersonX receives ___ in the mail,someone receives something in the mail,有人收到邮件
212,PersonX fights ___ by side,someone fights something by side,有人并肩作战
213,PersonX meets PersonY's expenses,someone meets someone else's expenses,有人遇见了别人的花费
214,PersonX sees ___ often,someone sees something often,某人经常看到某事
215,PersonX always told ___,someone always told something,总有人说
216,PersonX asks PersonY where was going,someone asks someone else where was going,有人问别人要去哪里
217,PersonX takes my dog,someone takes my dog,有人把我的狗带走了
218,PersonX takes ___ to complete,someone takes something to complete,有人要完成某件事
219,PersonX wants to kiss PersonY,someone wants to kiss someone else,有人想吻别人
220,PersonX makes PersonX's choices,someone makes his choices,有人做出选择
221,PersonX cleans the yard,someone cleans the yard,有人打扫院子
222,PersonX utilizes every ___,someone utilizes every something,有人利用一切
223,PersonX decides to purchase it,someone decides to purchase it,有人决定买它
224,PersonX puts PersonX's ___ to the test,someone puts his something to the test,有人在测试他的东西
225,PersonX visits PersonY's father,someone visits someone else's father,有人去探望别人的父亲
226,PersonX wants apple so badly,someone wants apple so badly,有人那么想要苹果
227,PersonX drives PersonX's truck,someone drives his truck,有人开他的卡车
228,PersonX rolls away the ___,someone rolls away something,有人卷走了什么东西
229,PersonX brings hands into contact,someone brings hands into contact,有人牵着手
230,PersonX asks PersonY to visit,someone asks someone else to visit,有人请别人去拜访
231,PersonX wants to have a party,someone wants to have a party,有人想开个派对
232,PersonX cleans PersonY's bathroom,someone cleans someone else's bathroom,有人打扫别人的浴室
233,PersonX quits smoking for good,someone quits smoking for good,有人永远戒烟了
234,PersonX sells PersonY's ___ at a price,someone sells someone else's something at a price,有人以一种价格出售别人的东西
235,PersonX asks if PersonY needed help,someone asks if someone else needed help,有人问是否有人需要帮助
236,PersonX wins PersonY back,someone wins someone else back,有人赢回了别人
237,PersonX has a bagel every day,someone has a bagel every day,有人每天吃百吉饼
238,PersonX drives PersonY mad,someone drives someone else mad,有人把别人逼疯了
239,PersonX buys a lottery ticket,someone buys a lottery ticket,有人买了张彩票
240,PersonX is taking a test,someone is taking a test,有人在考试
241,PersonX slips PersonY's arms,someone slips someone else's arms,有人把别人的胳膊
242,PersonX supplies every crayon,someone supplies every crayon,有人给每支蜡笔
243,PersonX gives ___ the opportunity,someone gives something the opportunity,有人给了某事机会
244,PersonX is n't hungry anymore,someone is n't hungry anymore,有人已经不饿了
245,PersonX settles PersonY's hash,someone settles someone else's hash,有人解决了别人的烂摊子
246,PersonX likes PersonY so much,someone likes someone else so much,有人如此喜欢别人
247,PersonX handles ___ well,someone handles something well,某人处理某事很好
248,PersonX examines PersonY carefully,someone examines someone else carefully,有人仔细地检查别人
249,PersonX takes ___ to the movies,someone takes something to the movies,有人带着东西去看电影
250,PersonX wins PersonY's heart,someone wins someone else's heart,有人赢得别人的心
251,PersonX goes ___ in the mountains,someone goes something in the mountains,有人在山里
252,PersonX takes three hours,someone takes three hours,有人花了三个小时
253,PersonX hits PersonX's friend,someone hits his friend,有人打了他的朋友
254,PersonX leans back,someone leans back,有人向后靠
255,PersonX is getting frustrated,someone is getting frustrated,有人很沮丧
256,PersonX wins the bet,someone wins the bet,有人赢了
257,PersonX tells my friend,someone tells my friend,有人告诉我朋友
258,PersonX visits france,someone visits france,有人访问法国
259,PersonX learns to swim,someone learns to swim,有人学游泳
260,PersonX tells PersonY came,someone tells someone else came,有人告诉别人
261,PersonX crashes PersonX's bike,someone crashes his bike,有人把自行车撞坏了
262,PersonX grabs ___ from the fridge,someone grabs something from the fridge,有人从冰箱里拿东西
263,PersonX receives a promotion,someone receives a promotion,某人得到提升
264,PersonX drives ___ fast,someone drives something fast,有人开快车
265,PersonX meets ___ at work,someone meets something at work,有人在工作中遇到了一些事情
266,PersonX talks PersonX's way,someone talks his way,有人在说话
267,PersonX sees PersonY home,someone sees someone else home,有人看见别人回家了
268,PersonX drives ___ in PersonX's new car,someone drives something in his new car,有人开着他的新车
269,PersonX travels the world,someone travels the world,有人周游世界
270,PersonX finds PersonY's owner,someone finds someone else's owner,有人找到了别人的主人
271,PersonX schools the next day,someone schools the next day,有人第二天去学校
272,PersonX finds ___ to park,someone finds something to park,有人找到要停车的东西
273,PersonX asks PersonY's mom for help,someone asks someone else's mom for help,有人向别人的妈妈求助
274,PersonX has a fun day,someone has a fun day,有人今天很开心
275,PersonX is n't feeling well,someone is n't feeling well,有人不舒服
276,PersonX loses PersonX's way,someone loses his way,有人迷失了方向
277,PersonX proposes marriage,someone proposes marriage,有人向我求婚
278,PersonX grabs a ladder,someone grabs a ladder,有人抓住梯子
279,PersonX makes war on PersonY,someone makes war on someone else,有人对别人开战
280,PersonX kisses the king 's ___,someone kisses the king 's something,有人亲吻国王的东西
281,PersonX sees PersonY soon,someone sees someone else soon,有人很快就会看到别人
282,PersonX is playing catch,someone is playing catch,有人在玩接球游戏
283,PersonX becomes sad,someone becomes sad,有人变得悲伤
284,PersonX borrows books on the credit,someone borrows books on the credit,有人借书借书
285,PersonX walks the floor,someone walks the floor,有人在地板上走动
286,PersonX sees ___ in the fridge,someone sees something in the fridge,有人看到冰箱里有东西
287,PersonX finds antiques at home,someone finds antiques at home,有人在家里发现古董
288,PersonX rubs in a tiny circular motion,someone rubs in a tiny circular motion,有人在一个微小的圆周运动中摩擦
289,PersonX puts PersonY's son,someone puts someone else's son,有人把别人的儿子
290,PersonX calls PersonY again,someone calls someone else again,又有人打电话给别人
291,PersonX makes PersonX's case,someone makes his case,有人为他辩护
292,PersonX begins rather the ___,someone begins rather something,有人开始做某事
293,PersonX has the blues,someone has the blues,有人忧郁
294,PersonX falls from PersonX's bike,someone falls from his bike,有人从自行车上摔下来
295,PersonX likes music,someone likes music,有人喜欢音乐
296,PersonX bakes all day,someone bakes all day,有人整天烤东西
297,PersonX tells PersonY's friend,someone tells someone else's friend,有人告诉别人的朋友
298,PersonX becomes confident,someone becomes confident,有人变得自信
299,PersonX brings up the rear,someone brings up the rear,有人在后面
300,PersonX increases PersonX's ability,someone increases his ability,有人提高了他的能力
301,PersonX sees past the end of PersonX's nose,someone sees past the end of his nose,有人从鼻尖往下看
302,PersonX bites PersonY's head off,someone bites someone else's head off,有人把别人的头咬下来
303,PersonX calls PersonY by the name,someone calls someone else by the name,有人叫别人的名字
304,PersonX kisses PersonY's feet,someone kisses someone else's feet,有人亲吻别人的脚
305,PersonX rides PersonX's bike home,someone rides his bike home,有人骑自行车回家
306,PersonX asks PersonY to let,someone asks someone else to let,有人让别人
307,PersonX comes near PersonY,someone comes near someone else,有人靠近别人
308,PersonX watches PersonY sleep,someone watches someone else sleep,有人看着别人睡觉
309,PersonX gets a burger,someone gets a burger,有人吃汉堡
310,PersonX finds ___ under the couch,someone finds something under the couch,有人在沙发下面发现了什么
311,PersonX moves back home,someone moves back home,有人搬回了家
312,PersonX sees things differently,someone sees things differently,有人对事物的看法不同
313,PersonX gets a coffee,someone gets a coffee,有人去买咖啡
314,PersonX becomes famous,someone becomes famous,有人出名了
315,PersonX gives PersonY opportunities,someone gives someone else opportunities,有人给别人机会
316,PersonX makes fun of PersonY ___,someone makes fun of someone else something,有人取笑别人
317,PersonX starts high school,someone starts high school,有人开始上高中了
318,PersonX does PersonX's job well,someone does his job well,有人把他的工作做得很好
319,PersonX brings ___ to light,someone brings something to light,有人揭露了一些事情
320,PersonX buys ___ from amazon,someone buys something from amazon,有人从亚马逊买东西
321,PersonX finds a replacement,someone finds a replacement,有人找到了替代品
322,PersonX ties PersonX's hair,someone ties his hair,有人把他的头发绑起来
323,PersonX spends ___ listening,someone spends something listening,有人花时间倾听
324,PersonX has food poisoning,someone has food poisoning,有人食物中毒
325,PersonX drives ___ the point,someone drives something the point,有人把某样东西
326,PersonX raises the bar,someone raises the bar,有人提高了标准
327,PersonX plays ___ PersonX's whole life,someone plays something his whole life,有人一生都在玩一些东西
328,PersonX prepares for PersonY emergency,someone prepares for someone else emergency,有人在为别人的紧急情况做准备
329,PersonX fulfills PersonX's obligations,someone fulfills his obligations,有人履行了他的义务
330,PersonX leads to PersonX's death,someone leads to his death,有人导致了他的死亡
331,PersonX has to go to the er,someone has to go to the er,总得有人去急诊室
332,PersonX cites chapter and verse,someone cites chapter and verse,有人引用章节
333,PersonX goes hand in hand,someone goes hand in hand,有人手牵手
334,PersonX protects PersonY from the sun,someone protects someone else from the sun,有人在阳光下保护别人
335,PersonX gets a dog as a pet,someone gets a dog as a pet,有人养狗当宠物
336,PersonX stands on stage,someone stands on stage,有人站在舞台上
337,PersonX needs surgery,someone needs surgery,有人需要手术
338,PersonX watches television all the time,someone watches television all the time,有人一直在看电视
339,PersonX calls the authorities,someone calls the authorities,有人打电话给当局
340,PersonX makes an appointment,someone makes an appointment,有人预约了
341,PersonX refers the ___ to the committee,someone refers something to the committee,有人向委员会提及某事
342,PersonX sets eyes on PersonY,someone sets eyes on someone else,有人盯上了别人
343,PersonX gets a refund,someone gets a refund,有人得到了退款
344,PersonX is getting tired,someone is getting tired,有人累了
345,PersonX decides to cheat,someone decides to cheat,有人决定作弊
346,PersonX immediately grabbed the parking ticket,someone immediately grabbed the parking ticket,有人立即抢下了停车罚单
347,PersonX drops the gloves,someone drops the gloves,有人把手套掉了
348,PersonX gets to PersonY's feet,someone gets to someone else's feet,有人站到了别人的脚下
349,PersonX takes second place,someone takes second place,有人占第二位
350,PersonX names the films PersonY is most proud of,someone names the films someone else is most proud of,有人给别人最自豪的电影起名字
351,PersonX raises the ___ by degree,someone raises something by degree,某人按程度提高某事
352,PersonX convinces PersonY's parents,someone convinces someone else's parents,有人说服别人的父母
353,PersonX puts a lid on it,someone puts a lid on it,有人给它盖上盖子
354,PersonX takes off PersonX's coat,someone takes off his coat,有人脱了他的外套
355,PersonX holds a pile together,someone holds a pile together,有人把一堆东西放在一起
356,PersonX makes PersonY bed,someone makes someone else bed,有人给别人铺床
357,PersonX eats PersonY's dinner,someone eats someone else's dinner,有人吃别人的饭
358,PersonX wins two tickets,someone wins two tickets,有人赢了两张票
359,PersonX gets the scooter under way,someone gets the scooter under way,有人把摩托车开过来了
360,PersonX eats a lot of candy,someone eats a lot of candy,有人吃了很多糖果
361,PersonX becomes friends,someone becomes friends,有人成了朋友
362,PersonX hears a sound,someone hears a sound,有人听到声音
363,PersonX closes behind PersonY,someone closes behind someone else,有人跟在别人后面
364,PersonX helps another ___,someone helps another something,有人帮助别人
365,PersonX kills another ___,someone kills another something,有人杀了别人
366,PersonX watches football,someone watches football,有人在看橄榄球
367,PersonX breaks PersonY's mother 's favorite vase,someone breaks someone else's mother 's favorite vase,有人打碎了别人母亲最心爱的花瓶
368,PersonX comes a ___ at the door,someone comes something at the door,有人来敲门
369,PersonX goes ___ in the ocean,someone goes something in the ocean,有人掉进海里
370,PersonX makes noodles for lunch,someone makes noodles for lunch,有人为午餐做面条
371,PersonX gets PersonX's hands on ___,someone gets his hands on something,有人拿到了什么东西
372,PersonX mounts PersonY attack,someone mounts someone else attack,有人攻击别人
373,PersonX makes PersonY's cry,someone makes someone else's cry,有人让别人哭
374,PersonX spends ___ with PersonX's kids,someone spends something with his kids,有人和他的孩子
375,PersonX hopes would return,someone hopes would return,有人希望能回来
376,PersonX celebrates PersonX's victory,someone celebrates his victory,有人庆祝他的胜利
377,PersonX establishes PersonX's authority,someone establishes his authority,有人建立了他的权威
378,PersonX stops drinking soda,someone stops drinking soda,有人不喝汽水了
379,PersonX goes roller skating,someone goes roller skating,有人去滑旱冰
380,PersonX is getting ready,someone is getting ready,有人在准备
381,PersonX fails the class,someone fails the class,有人不及格
382,PersonX sells PersonY's products,someone sells someone else's products,有人卖别人的产品
383,PersonX walks inside,someone walks inside,有人走进来
384,PersonX elects another ___,someone elects another something,有人选别的东西
385,PersonX waters PersonX's plants,someone waters his plants,有人给他的植物浇水
386,PersonX begins dating,someone begins dating,有人开始约会
387,PersonX teaches PersonY to play,someone teaches someone else to play,有人教别人玩
388,PersonX solves PersonY's problem,someone solves someone else's problem,有人解决了别人的问题
389,PersonX trains PersonY's dog,someone trains someone else's dog,有人训练别人的狗
390,PersonX hears music,someone hears music,有人听到音乐
391,PersonX makes PersonY promises,someone makes someone else promises,有人让别人承诺
392,PersonX lives next door,someone lives next door,有人住在隔壁
393,PersonX transmits by PersonY means without the permission,someone transmits by someone else means without the permission,有人未经许可以别人的方式传送。
394,PersonX spends the ___ looking,someone spends something looking,有人花了很多钱
395,PersonX is going to miss PersonY,someone is going to miss someone else,有人会想念别人
396,PersonX pieces ___ together,someone pieces something together,有人把东西拼凑在一起
397,PersonX goes and buy,someone goes and buy,有人去买
398,PersonX leads PersonY existence,someone leads someone else existence,有人引导别人的存在
399,PersonX calls off the dogs,someone calls off the dogs,有人把狗叫走了
400,PersonX takes PersonX's photo,someone takes his photo,有人给他拍照
401,PersonX sees land soon,someone sees land soon,有人很快就会看到陆地
402,PersonX offers to tutor PersonY,someone offers to tutor someone else,有人提出辅导别人
403,PersonX becomes frightened,someone becomes frightened,有人害怕了
404,PersonX affords the trip,someone affords the trip,有人提供了这次旅行
405,PersonX is a great basketball player,someone is a great basketball player,某人是个伟大的篮球运动员
406,PersonX finds a ring,someone finds a ring,有人找到一枚戒指
407,PersonX knows every road,someone knows every road,有人知道每一条路
408,PersonX badly hurt,someone badly hurt,严重受伤的人
409,PersonX makes PersonY smile,someone makes someone else smile,有人让别人微笑
410,PersonX places PersonY's lips,someone places someone else's lips,有人把别人的嘴唇
411,PersonX closes the distance between PersonY,someone closes the distance between someone else,有人拉近了彼此的距离
412,PersonX converts to islam,someone converts to islam,皈依伊斯兰教的人
